No,性別,年代区分,住居状況区分,家族状況区分,家族人数区分,家族同居区分,年収区分,勤務形態区分,申込経路,申請理由,引上率,審査結果,申請有無
105,2,50代,2,1,3,1,1,02,3,14,1,4,0
106,1,40代,5,1,2,1,5,02,3,3,2.25,1,0
107,1,30代,5,1,2,1,5,02,3,1,2.133333333,1,0
108,2,30代,5,2,3,1,1,03,3,7,1.25,1,1
109,1,60代,1,1,2,1,4,02,3,6,1,4,0
110,2,50代,1,2,1,1,4,02,3,5,1.2,1,0
111,1,40代,5,2,1,2,2,05,3,2,3,1,0
112,2,30代,2,2,2,1,1,02,3,6,3.272727273,1,0
113,2,20代,2,2,4,1,0,02,3,1,3.5,1,1
114,1,50代,1,1,4,1,9,02,2,2,1.277777778,2,0
115,2,40代,7,2,1,0,2,02,2,2,1.25,1,0
116,1,50代,1,2,1,2,2,11,3,2,1,4,1
117,1,40代,1,1,4,1,9,02,3,0,1.5,1,1
118,2,30代,2,2,3,2,1,07,2,2,1,4,1
119,1,40代,6,1,4,1,7,02,2,9,1.4,1,0
120,1,40代,3,1,2,1,7,02,3,1,1.6,2,1
121,1,50代,1,2,1,2,2,11,3,2,1,4,1
122,2,40代,2,1,4,1,2,02,2,10,1.777777778,1,0
123,1,50代,1,2,1,2,2,11,3,2,1,4,1
124,1,40代,6,2,1,2,1,02,3,0,2.5,1,0
125,2,70代,2,2,1,1,0,08,2,15,1.875,1,0
126,2,40代,5,1,3,1,1,02,2,10,1.818181818,2,0
127,1,40代,1,1,4,1,6,01,2,2,1.272727273,1,0
128,2,20代,5,2,1,2,2,02,2,5,1,4,0
129,1,60代,1,1,2,2,2,12,2,2,1,4,0
130,1,70代,1,1,2,1,4,01,2,0,1.736842105,1,0
131,2,20代,5,1,2,1,2,02,3,1,2.6,1,0
132,2,40代,1,1,4,1,3,02,2,7,1.058823529,2,1
133,2,20代,2,2,3,1,0,06,3,1,1.5,1,0
134,2,40代,1,1,4,1,5,01,2,1,2.5,1,0
135,2,30代,5,1,2,1,1,02,2,0,1.571428571,1,0
136,2,40代,1,1,4,1,3,02,2,1,1.333333333,1,0
137,1,80代,1,1,2,9,6,01,2,3,1.057142857,1,0
138,2,50代,5,2,1,2,2,02,2,5,1.275,1,0
139,1,50代,2,2,3,1,3,02,3,3,5.285714286,1,0
140,2,40代,2,1,4,1,2,07,2,0,4.333333333,1,0
141,2,80代,2,2,1,1,0,08,2,15,1.875,1,0
142,1,40代,1,2,3,9,4,02,2,3,1.825,1,0
143,2,20代,2,2,4,1,0,06,2,0,5,1,0
144,2,30代,5,1,1,1,1,12,3,11,3.857142857,1,0
145,2,60代,1,1,2,1,0,04,3,1,2.6,1,0
146,2,40代,2,1,3,1,2,02,2,7,1.033333333,1,0
147,1,30代,5,2,1,1,3,02,3,1,1.25,1,0
148,1,30代,7,2,1,1,2,02,2,10,2.666666667,1,0
149,1,50代,1,1,3,1,4,02,2,2,1.05,1,0
150,2,40代,2,1,2,1,3,02,2,14,2.066666667,1,0
151,1,40代,1,1,3,1,6,02,3,4,1.31,1,1
152,2,20代,2,2,4,1,0,06,2,1,2.05,1,0
153,2,20代,2,2,4,1,1,02,3,4,1.5,1,0
154,1,30代,5,2,1,0,2,02,2,0,1.142857143,1,0
155,1,50代,5,1,2,0,6,02,2,2,1.833333333,1,0
156,2,20代,2,2,3,1,1,02,2,4,1.65,1,0
157,2,40代,2,1,4,1,1,07,2,7,1.0625,1,1
158,2,40代,5,2,1,2,4,02,2,14,1.714285714,1,0
159,2,30代,7,2,1,0,2,05,2,1,1.6,1,0
160,2,40代,7,1,2,1,1,02,3,1,1.5,1,0
161,1,30代,1,1,4,1,2,02,2,4,1.333333333,1,1
162,2,40代,7,2,2,0,2,02,2,0,1.714285714,1,0
163,2,60代,6,1,4,1,0,04,2,14,14.05,1,0
164,1,70代,1,1,4,1,3,05,2,1,2,1,0
165,2,60代,2,1,2,1,3,05,3,16,1,4,0
166,1,20代,5,2,3,1,5,02,2,10,2.5,2,0
167,1,40代,2,2,3,9,9,10,2,10,1.6875,1,0
169,1,40代,3,1,2,1,4,02,2,5,1,4,1
170,1,50代,1,2,1,1,4,02,2,8,2.0125,1,0
171,2,20代,5,2,1,1,1,02,2,7,1.2,1,0
172,1,60代,1,1,3,9,1,08,2,15,2.125,1,0
174,1,50代,1,1,4,1,5,02,3,10,1.75,1,0
175,2,20代,7,2,1,2,1,07,3,0,1.7,1,0
177,1,20代,2,2,4,1,1,02,2,2,2,1,0
178,1,10代,2,2,2,1,2,02,3,10,1.2,1,0
179,2,30代,5,2,1,2,3,02,3,13,2.25,1,0
180,1,40代,2,1,4,1,5,02,3,1,1,4,1
181,2,20代,2,2,4,1,0,05,3,2,1.7,1,0
183,2,40代,5,1,2,1,0,04,3,3,1.555555556,1,0
184,2,20代,7,2,1,2,1,07,3,6,3.5,1,1
185,1,50代,3,1,4,2,6,02,3,5,1.0625,1,0
186,1,20代,2,2,4,1,1,06,3,0,1.083333333,1,0
187,2,20代,7,2,1,2,1,02,3,4,1,4,0
189,2,20代,5,2,1,2,2,06,3,7,1.75,1,0
190,1,30代,2,2,1,2,2,03,3,3,3.5,1,0
191,1,40代,7,1,4,1,2,02,3,16,2.285714286,1,0
192,2,20代,2,2,1,2,0,06,3,0,1,6,0
193,2,20代,4,2,4,1,1,02,3,6,1,4,1
195,1,50代,3,1,4,2,6,02,3,0,2,1,0
196,2,60代,1,2,1,2,1,12,3,0,3,1,0
197,2,40代,1,1,3,1,3,02,3,8,3.272727273,1,0
198,2,20代,7,2,2,2,1,02,3,8,1.45,1,1
199,2,30代,7,2,1,2,1,02,3,4,1.1,1,1
200,1,50代,1,2,1,2,2,11,3,2,1,4,1
201,2,30代,2,2,4,1,3,02,3,4,1,4,0
203,2,20代,2,2,1,2,0,06,2,0,1.9,1,0
204,2,70代,2,1,2,1,0,04,2,0,3.1625,1,0
205,1,20代,5,2,3,1,0,06,2,9,1.15,1,1
206,2,60代,5,2,1,2,0,05,2,1,2.5,1,0
207,1,20代,2,2,2,1,0,06,3,1,1.333333333,1,0
208,1,60代,1,1,2,1,1,07,2,1,2.25,1,0
209,2,40代,4,2,1,2,5,02,2,1,1.333333333,2,0
210,1,60代,1,1,2,1,2,02,2,1,3,1,0
211,2,40代,5,2,1,9,2,02,2,0,1.725,1,0
212,2,70代,1,2,2,1,1,08,2,0,2.4,1,0
213,2,30代,7,2,1,0,2,05,2,1,1.25,2,0
214,1,80代,1,1,2,1,9,05,2,3,2.076923077,1,0
215,2,30代,1,2,3,1,1,02,3,2,2.25,1,1
216,1,40代,5,1,4,9,9,02,2,2,1.333333333,1,0
