No,性別,年代区分,住居状況区分,家族状況区分,家族人数区分,家族同居区分,年収区分,勤務形態区分,申込経路,申請理由,引上率,審査結果,申請有無
4537,2,40代,1,1,3,1,1,07,2,5,1.028571429,1,0
4538,1,50代,1,1,4,1,8,02,2,12,1.016666667,1,0
4539,1,50代,1,1,3,9,7,02,2,15,1.8,1,0
4540,2,20代,2,2,4,1,1,12,3,0,1,6,0
4541,1,40代,1,1,4,1,9,01,2,0,1.833333333,1,0
4542,2,30代,1,1,3,1,3,02,2,10,1.45,1,0
4543,1,70代,1,1,2,1,1,08,2,0,2,1,0
4544,1,40代,2,2,4,1,9,05,2,12,2.375,1,0
4545,1,10代,2,2,4,1,0,06,3,5,1,4,1
4546,1,40代,1,1,4,1,7,03,3,12,1.6,1,1
4547,2,40代,1,1,2,1,5,05,2,1,1.25,1,0
4548,2,50代,2,1,3,1,0,04,2,0,1.428571429,1,0
4549,2,40代,2,1,4,1,2,02,2,0,1.454545455,1,0
4550,2,60代,1,2,1,2,1,08,2,12,2.5,1,1
4551,2,40代,1,1,4,1,1,02,2,9,1,4,0
4552,1,60代,1,1,2,1,5,01,2,12,1,4,0
4553,1,60代,1,1,2,1,5,01,2,6,1,4,0
4554,2,40代,5,1,2,1,3,02,3,16,1.8,1,0
4555,2,50代,5,1,9,9,0,07,3,15,1,6,0
4556,2,30代,2,1,3,1,0,04,3,3,2,1,0
4557,1,30代,1,1,3,1,4,01,3,3,1,4,0
4558,1,60代,1,1,2,1,1,02,3,0,2.222222222,1,0
4560,1,30代,3,2,4,2,1,03,3,6,2.5,1,0
4561,1,20代,2,2,4,1,0,06,3,0,1,4,1
4562,1,30代,5,1,2,1,3,02,3,11,8.333333333,2,0
4563,2,50代,1,2,1,2,4,02,3,5,1.125,1,0
4564,2,40代,1,1,3,1,1,07,3,3,1.666666667,1,0
4565,1,20代,2,2,2,1,2,02,3,14,2.636363636,1,0
4566,1,50代,5,1,2,1,9,01,3,2,3,1,1
4567,2,40代,2,2,2,1,2,02,3,1,1.75,1,0
4568,2,30代,5,1,2,1,4,09,3,0,1.857142857,1,1
4569,1,30代,5,1,4,1,3,03,3,3,2.371428571,1,0
4570,2,30代,2,2,1,1,3,02,3,7,1,4,1
4571,2,40代,1,1,4,1,1,02,3,0,1.1875,1,0
4572,1,50代,1,1,3,1,5,02,3,1,2.5,1,0
4573,1,40代,5,1,2,2,2,13,3,1,1.25,1,0
4574,1,50代,7,2,1,2,7,02,3,4,1.230769231,1,0
4575,1,30代,2,2,1,1,3,05,3,12,1.633333333,1,1
4577,2,40代,5,2,1,2,2,02,3,1,1.142857143,1,1
4578,2,20代,5,2,2,1,1,05,3,6,4,1,1
4580,2,30代,2,2,1,1,3,02,3,7,1,4,0
4581,2,40代,1,2,1,1,0,07,3,4,1.7,1,0
4582,1,20代,2,2,2,1,1,02,3,4,1.15,2,0
4583,2,20代,2,2,4,1,0,06,3,2,1,4,0
4585,2,40代,3,1,2,1,8,02,3,0,2.25,1,0
4586,2,40代,5,2,1,1,3,03,3,2,1.111111111,1,0
4587,2,30代,6,2,2,1,2,02,3,11,2.4,1,0
4588,2,20代,5,2,1,2,1,02,3,4,1,4,0
4589,1,40代,7,2,1,2,3,02,3,18,1.714285714,1,0
4590,2,80代,1,1,2,1,1,04,3,2,1.3,1,0
4591,2,60代,2,1,2,1,0,04,2,6,1.666666667,1,0
4592,1,40代,1,1,2,1,9,05,3,1,1,4,1
4593,2,40代,2,1,2,1,3,07,2,14,2.833333333,1,0
4594,1,60代,1,1,4,1,3,02,2,3,2.5,1,0
4595,1,40代,5,2,1,1,1,01,2,2,2.75,1,1
4596,2,50代,1,2,3,1,9,02,2,0,2,2,0
4597,2,40代,2,2,1,1,0,11,2,17,2.153846154,1,0
4598,1,30代,2,2,3,1,2,02,2,4,1.06,2,0
4599,1,20代,2,2,4,1,0,07,2,3,1,4,0
4600,1,70代,1,1,2,1,0,08,2,1,1.625,1,0
4601,1,20代,3,2,1,2,2,02,2,7,1.5,1,0
4602,2,60代,1,1,2,1,0,02,2,0,3.275,1,0
4603,1,60代,1,1,2,1,1,08,2,6,2.052631579,1,1
4604,1,40代,1,1,4,1,9,05,2,1,2,2,1
4605,2,20代,3,2,1,2,1,02,3,13,1.7,1,1
4606,2,50代,2,1,3,1,0,04,3,2,4.333333333,1,0
4607,1,20代,2,2,3,1,0,06,2,1,3.5,1,1
4608,2,60代,1,1,3,1,1,08,2,0,2.566666667,1,0
4609,2,30代,5,2,1,2,5,02,2,11,2.666666667,2,1
4610,2,70代,1,2,1,1,1,08,2,2,2.75,1,0
4611,2,20代,2,2,4,1,1,02,3,1,1.166666667,1,0
4612,2,50代,1,2,1,9,7,02,2,9,1.333333333,2,0
4613,2,50代,1,1,3,1,7,02,2,0,1.52,1,1
4614,2,50代,1,1,3,9,2,05,2,17,2.444444444,1,0
4615,2,20代,2,2,4,1,0,06,3,13,3,1,0
4616,1,50代,1,2,1,1,4,02,2,0,2.375,1,0
4617,2,20代,2,2,3,1,1,02,3,0,1.25,1,0
4618,2,50代,2,1,2,1,0,04,3,3,1.483333333,1,0
4619,1,40代,1,1,4,1,8,10,3,12,2.5,1,0
4620,1,50代,1,1,4,1,7,02,2,0,1.333333333,1,0
4621,1,30代,2,1,4,1,2,01,3,1,1,4,0
4622,1,40代,1,1,4,1,5,01,2,13,1.625,1,0
4623,2,60代,1,1,2,1,0,08,2,3,2.25,1,0
4624,2,20代,5,2,2,2,2,02,3,1,1,4,1
4625,2,40代,1,2,1,1,4,02,3,7,1.06,1,1
4626,1,20代,2,2,1,1,2,02,3,5,1,4,1
4627,2,20代,7,2,1,2,1,12,2,7,1,4,0
4628,2,20代,2,2,4,1,0,06,3,1,4,1,0
4629,2,60代,7,2,1,2,1,08,2,0,2.4125,1,0
4630,1,70代,2,1,2,1,0,08,3,0,1.625,1,0
4631,2,30代,2,2,4,1,2,05,2,16,1,4,0
4632,2,50代,2,1,2,9,1,07,2,12,1.8125,1,0
4633,2,20代,2,2,1,1,1,02,3,4,1,4,1
4634,1,50代,1,1,2,1,9,01,3,0,1.166666667,1,1
4635,1,30代,5,2,1,2,2,02,3,7,1.75,1,1
4636,2,40代,2,2,4,1,1,02,3,15,2.857142857,1,0
4637,2,20代,2,2,4,1,1,02,3,1,1,4,0
4638,1,50代,7,1,4,1,2,02,3,12,2.25,1,0
4639,2,20代,5,2,4,1,1,02,3,10,1.25,1,1
4640,2,20代,2,2,3,1,1,02,3,0,1.2,1,1
4641,1,30代,5,1,2,2,3,02,3,6,2,2,0
4642,1,20代,2,2,4,1,0,06,3,0,2,1,1
4643,2,50代,2,1,3,1,1,04,3,0,1.45,1,0
4644,2,20代,2,2,3,1,1,02,3,4,1.4,1,0
4645,2,50代,2,1,3,1,2,02,3,14,1.525,1,0
4646,1,20代,2,2,3,1,2,02,3,4,1,4,0
4647,1,20代,2,2,4,1,1,06,3,1,1.666666667,1,0
4648,1,30代,2,1,2,1,2,02,3,4,1.233333333,1,0
4649,2,50代,1,1,3,1,1,02,3,10,2.428571429,1,0
4650,2,20代,2,2,4,1,0,06,3,2,1,4,0
4651,1,40代,1,1,3,1,3,03,3,14,1.76,1,1
4652,2,50代,1,1,4,0,1,02,3,6,2.818181818,1,0
4653,1,70代,1,2,2,1,2,08,2,15,2.25,1,0
4654,2,40代,7,2,1,2,3,05,2,12,4.333333333,1,0
4655,2,50代,2,1,3,9,0,04,2,15,2.877777778,1,0
4656,2,30代,5,2,1,2,2,12,3,1,1,4,0
4657,1,40代,1,1,4,1,9,02,2,14,1.135,1,0
4658,1,40代,1,1,4,1,9,02,2,14,1.374449339,1,0
4659,1,60代,1,1,2,1,2,02,3,0,2.25,1,0
4660,2,20代,2,2,4,1,1,02,2,9,1.7,1,1
4661,1,50代,1,1,4,1,5,02,2,1,2,1,1
4662,1,60代,1,1,2,1,2,08,2,6,1.769230769,1,0
4663,1,20代,2,2,4,1,2,02,2,0,1.55,1,0
4664,2,60代,1,2,1,0,2,12,2,4,1.128571429,1,0
4665,2,60代,1,2,1,0,2,12,2,9,1.126582278,1,0
4666,2,50代,1,2,1,1,3,02,2,15,1.4375,1,0
4667,2,40代,5,1,2,9,1,02,2,14,1.85,1,0
4668,2,50代,2,1,2,1,0,04,3,2,1.733333333,1,0
4669,1,30代,1,1,3,1,9,10,2,3,1.909090909,1,0
4670,1,40代,1,1,4,9,4,02,2,12,1.73,1,0
4671,2,20代,2,2,4,1,0,06,2,1,2.5,1,0
4672,2,70代,1,2,1,0,1,08,2,9,1.666666667,1,0
4673,2,60代,2,1,2,1,0,08,2,0,2.1,1,0
4674,2,40代,2,1,3,1,2,02,2,17,1.857142857,1,0
4675,2,40代,2,1,3,1,0,07,3,7,1.5,1,0
4676,2,20代,2,2,3,1,0,06,3,1,1.5,1,0
4677,1,30代,7,1,3,2,9,10,2,12,1.428571429,2,0
4678,1,50代,2,1,2,1,3,02,2,4,1.2,1,0
4679,2,20代,2,2,4,1,0,06,3,1,1.625,1,0
4680,2,30代,2,1,4,1,4,02,3,7,1,4,0
4681,1,70代,1,1,2,1,2,08,2,12,1.333333333,2,0
4682,1,30代,7,2,1,1,2,02,3,11,2.666666667,1,0
4684,1,60代,1,1,3,9,9,01,2,0,2.083333333,1,0
4685,1,30代,1,1,2,1,3,02,2,3,1.54,1,1
4686,2,50代,6,1,4,1,5,10,2,5,1,4,0
4687,2,70代,1,1,3,1,0,08,2,0,3.125,1,0
4688,1,40代,5,2,3,9,2,02,2,8,2,1,0
4689,1,50代,1,1,4,1,5,02,2,0,4,2,0
4690,1,60代,1,1,2,1,1,08,2,0,2.3,1,0
4691,1,20代,2,2,4,1,0,06,3,1,1.333333333,1,0
4692,2,30代,5,2,2,1,1,07,2,1,1.333333333,1,1
4693,2,40代,2,1,2,1,1,05,2,0,1.814285714,1,0
4694,2,20代,2,2,4,1,0,06,2,1,1,4,0
4695,2,60代,1,1,2,1,0,08,2,0,1.655555556,1,0
4696,2,60代,1,2,1,1,4,07,2,0,2.1,1,0
4697,2,60代,5,2,1,2,1,02,3,15,1,4,0
4698,1,40代,7,2,1,2,1,02,3,4,1.25,1,0
4699,2,20代,7,2,4,1,1,07,3,15,1,4,1
4700,1,20代,2,2,1,2,1,02,3,10,1.45,1,0
4701,1,20代,7,1,2,1,2,02,3,11,6,1,0
4702,2,40代,1,1,3,1,0,04,3,0,1.725,1,0
4703,2,30代,3,1,3,1,1,02,3,6,3.666666667,1,0
4704,2,20代,2,2,3,1,0,06,3,7,1.25,1,0
4705,1,40代,1,1,4,1,3,02,3,10,2.175,1,0
4706,2,30代,2,2,4,1,1,12,3,7,1.125,1,0
4707,1,30代,7,2,1,2,2,02,3,0,2.5,1,1
4708,2,30代,2,2,1,2,1,02,3,17,7.142857143,2,0
4709,2,40代,4,1,4,1,2,02,3,1,1.1,1,0
4710,2,20代,4,1,4,1,1,02,3,1,1,4,0
4711,2,30代,7,2,1,2,2,07,3,7,1,4,0
4712,1,30代,5,1,2,1,2,02,3,11,2.5625,1,0
4713,1,60代,1,1,4,1,5,02,3,6,3.333333333,2,1
4714,2,40代,5,1,4,1,2,02,3,6,2.042857143,1,0
4715,1,40代,5,1,2,1,9,02,3,12,2.181818182,1,0
4716,2,30代,5,2,1,2,2,12,3,0,1,4,0
4717,1,30代,5,2,1,2,2,02,3,11,4.333333333,1,0
4718,1,60代,2,1,3,1,9,01,3,12,2.272727273,2,0
4719,1,40代,1,1,4,1,9,02,3,1,3.333333333,2,0
4720,2,20代,7,2,4,2,1,06,3,7,6,1,1
4721,2,20代,5,2,1,2,3,02,3,3,1.5,1,0
4722,1,20代,5,2,4,2,0,06,3,4,1.2,1,1
4723,2,40代,2,2,2,1,3,02,3,0,1.357142857,1,0
4724,2,20代,2,2,2,1,1,07,3,4,1.1,1,0
4725,2,40代,1,1,4,1,4,02,3,6,1.5,2,0
4726,1,20代,2,2,4,1,0,02,3,2,1.5,1,0
4727,2,20代,2,2,4,1,1,02,3,3,3.6,1,0
4728,1,70代,1,2,1,1,1,11,3,3,1,4,0
4729,1,40代,5,1,4,1,5,02,3,6,2,1,0
4730,1,60代,1,1,0,0,5,02,3,2,1.461538462,1,0
4731,1,30代,5,2,1,1,4,03,3,11,1.75,1,0
4732,2,30代,2,2,9,9,2,02,3,12,3,2,0
4733,2,50代,5,2,1,2,3,02,3,6,3,1,0
4734,2,40代,2,1,2,9,2,12,2,2,2.333333333,1,0
4735,2,60代,2,1,3,1,0,04,3,7,1,4,1
4736,2,20代,5,2,1,2,1,02,3,4,1,4,0
4737,1,70代,1,1,2,1,1,08,2,15,3,1,0
4738,1,60代,1,1,3,1,2,02,2,0,1.12,1,0
4739,2,20代,7,2,2,1,2,02,2,4,1.2,1,0
4740,1,60代,1,1,2,1,3,02,3,3,1.769230769,1,0
4741,2,30代,2,2,3,1,0,11,2,0,1.733333333,1,0
4742,2,20代,5,2,4,1,1,06,3,7,1,4,0
4743,2,20代,5,2,2,1,3,05,2,7,3,1,0
4744,1,20代,2,2,4,1,1,02,3,4,2,2,0
4745,2,30代,2,1,3,1,1,07,2,0,1.6,1,1
4746,2,50代,2,1,4,1,0,04,2,9,2.4,1,0
4747,2,40代,2,1,3,1,3,02,3,10,1,4,0
4748,2,50代,7,1,2,1,0,04,2,15,2.230769231,1,0
4749,2,20代,2,2,3,1,2,05,3,6,2.666666667,1,1
4750,2,20代,5,2,1,2,2,02,3,13,1.333333333,2,0
4751,2,40代,2,1,4,1,2,05,2,7,2,1,0
4752,2,30代,5,2,1,2,2,12,3,1,1,4,0
4754,2,70代,1,1,2,1,0,04,2,6,2.428571429,1,0
4755,1,40代,1,1,2,1,5,02,3,6,1.40625,1,0
4757,1,50代,1,1,2,1,4,02,2,1,2.25,1,0
4758,2,30代,5,2,1,2,2,12,3,5,1,4,0
4759,2,60代,1,2,2,1,5,01,3,12,6.4,2,0
4760,2,30代,5,2,1,2,2,12,3,0,1,4,0
4761,1,20代,2,2,4,1,2,02,3,16,1,4,1
4762,2,30代,5,1,2,1,1,05,2,9,1.333333333,1,0
4763,2,20代,3,1,2,1,3,02,2,11,2.666666667,1,0
4764,2,30代,5,1,2,1,1,05,2,9,1.611111111,1,0
4765,2,20代,7,2,3,2,0,11,3,17,1,4,1
4766,1,40代,6,1,2,9,4,05,2,0,2.545454545,1,0
4767,2,20代,7,1,2,0,1,02,2,11,6,1,0
4768,2,30代,5,2,1,2,2,12,3,16,1,4,0
4769,1,40代,1,1,2,1,3,02,2,7,1,4,1
4770,2,50代,2,2,2,9,2,02,2,1,2.111111111,1,0
4771,2,50代,1,1,2,1,9,10,2,12,3.846153846,2,1
4772,2,20代,2,2,1,1,1,02,2,7,1.3,1,1
4773,2,40代,5,1,3,1,0,04,2,8,2.488235294,1,1
4774,2,70代,2,1,3,1,0,04,2,3,1.6,1,0
4775,2,40代,1,1,4,9,2,02,2,7,1.25,1,0
4776,1,60代,1,1,9,9,3,02,3,1,1,4,0
4777,1,50代,5,1,2,1,6,02,2,0,2.222222222,1,0
4778,1,60代,1,2,1,2,1,08,2,8,3.555555556,1,0
4779,1,50代,1,2,9,9,0,02,3,1,1,6,0
4780,1,20代,5,2,1,2,1,06,3,6,2.5,2,0
4781,2,20代,2,2,4,1,0,06,2,1,2.5,1,0
4782,1,70代,1,1,4,1,1,08,2,0,1.625,1,0
4783,2,20代,5,2,1,2,1,02,3,1,1,4,1
4784,2,70代,5,1,2,9,0,04,2,0,2.333333333,1,0
4785,2,40代,2,1,4,1,0,04,2,7,1.9375,1,0
4786,2,50代,2,2,3,1,3,02,2,17,2.25,1,0
4787,2,20代,7,2,1,2,1,12,2,3,2.283333333,1,0
4788,1,30代,5,1,3,1,5,01,2,0,1,4,0
4789,2,50代,2,1,3,1,0,04,2,0,1.3,1,0
4790,1,30代,7,2,1,2,2,03,3,6,1.5,1,0
4791,1,70代,1,1,3,1,4,01,3,0,2.153846154,1,0
4792,1,20代,2,2,4,1,0,06,3,2,1.75,1,0
4793,2,30代,2,1,2,1,0,04,3,8,1.714285714,1,1
4794,2,20代,2,2,3,1,0,07,3,0,1.15,1,1
4795,2,50代,5,1,1,2,4,02,3,1,3.857142857,1,0
4796,1,50代,1,1,4,1,9,01,3,10,1.75,1,0
4797,1,30代,2,2,3,1,1,07,3,1,1,4,0
4798,1,30代,3,2,3,1,1,03,3,6,3.333333333,1,1
4799,2,60代,2,1,2,1,3,05,3,16,1,4,0
4800,2,70代,1,2,2,1,0,08,3,3,1.2,1,0
4802,1,20代,3,2,1,2,1,02,3,6,2.333333333,1,0
4803,1,50代,5,1,2,1,6,02,3,12,2,1,0
4804,2,20代,4,2,4,1,1,02,3,3,1,4,1
4805,2,30代,2,2,2,1,3,02,3,7,1,4,1
4806,2,40代,1,1,4,1,1,12,3,0,2.25,1,0
4807,1,30代,5,2,1,2,2,02,3,12,2.5,1,0
4808,1,30代,5,2,1,2,5,02,3,1,3.142857143,1,1
4809,2,40代,1,1,4,1,5,02,3,13,1.714285714,1,0
4810,1,40代,7,2,2,1,5,02,3,1,1,4,0
4811,2,20代,2,2,4,2,0,06,3,1,1.75,1,0
4812,2,30代,2,1,4,1,4,02,3,7,1,4,0
4813,1,60代,1,1,2,1,4,01,3,0,2.333333333,1,0
4814,2,40代,1,1,2,1,2,02,3,3,2.25,1,0
4815,2,30代,3,2,1,2,3,02,3,7,1,4,0
4816,1,70代,1,1,2,1,5,05,3,1,2,2,0
4817,2,30代,5,2,1,2,2,02,3,0,1.166666667,1,1
4818,1,30代,1,1,4,2,9,01,2,0,1.714285714,1,0
4819,2,20代,2,2,4,1,0,06,2,9,1.2,1,0
4820,2,50代,1,1,3,1,0,04,2,6,2.25,1,0
4821,2,50代,1,1,3,1,0,04,2,2,1.144444444,1,0
4822,1,60代,1,1,2,1,1,08,2,3,3.857142857,1,0
4823,1,70代,1,1,2,1,9,01,2,0,1.655555556,1,0
4824,1,60代,2,2,1,2,2,02,2,15,2.5,1,0
4825,1,30代,1,2,2,1,2,02,2,8,1.176470588,2,0
4826,2,50代,5,1,3,1,1,12,2,7,1.428571429,1,0
4827,2,60代,2,1,2,1,2,12,2,10,1.592307692,1,1
4828,1,50代,1,1,3,1,9,01,2,10,2.23,1,0
4829,1,80代,1,1,2,1,1,08,3,0,4.333333333,1,0
4830,2,50代,5,2,1,2,1,12,3,16,1,4,0
4831,1,30代,7,2,1,2,3,02,3,1,2.875,1,0
4832,2,60代,1,1,3,1,1,08,2,0,1.9875,1,0
4834,1,50代,4,2,1,2,2,02,2,6,1.8125,1,0
4835,1,50代,1,1,3,1,5,02,2,1,1,4,0
4836,2,60代,1,2,2,1,2,02,2,14,2,2,0
4837,1,40代,1,1,4,9,4,02,2,10,2,1,0
4838,2,30代,2,2,1,2,2,03,2,8,2.1,1,0
4839,2,50代,2,1,3,1,0,04,2,10,2.888888889,1,0
4840,2,50代,2,1,3,1,0,04,2,10,1.653846154,1,0
4841,2,60代,2,1,3,1,0,08,2,15,5,1,0
4842,2,20代,2,2,4,1,2,02,3,0,2.428571429,1,0
4843,1,50代,5,1,2,1,9,10,2,12,1.775,1,0
4844,1,50代,1,1,2,1,9,01,2,8,2,2,0
4845,2,40代,2,1,4,1,2,05,2,8,2.25,1,0
4846,2,50代,5,2,1,1,2,02,2,13,1.625,1,0
4847,2,40代,2,1,3,1,0,07,2,6,2.111111111,1,0
4848,2,30代,5,2,1,1,1,02,3,1,1.333333333,1,0
4849,2,30代,2,1,2,1,0,04,3,5,1.083333333,1,0
4850,2,50代,1,2,2,9,3,02,2,1,1.285714286,1,0
4851,1,50代,1,1,3,1,4,03,2,5,1,4,1
4852,2,60代,2,1,2,1,1,07,2,14,2.3,1,0
4853,2,30代,2,2,3,1,4,02,2,0,1.309090909,1,0
4854,2,40代,2,2,4,1,2,02,2,1,1.5,1,0
4855,2,30代,2,2,4,1,1,07,3,5,1,4,0
4856,1,40代,1,1,3,1,7,03,3,12,2.307692308,2,0
4857,2,30代,5,1,2,1,6,02,3,11,16,1,0
4858,2,40代,5,1,1,2,1,02,2,3,1.714285714,1,0
4859,1,20代,2,2,4,1,0,06,2,12,3.6,1,0
4860,2,50代,1,2,2,1,0,05,2,13,1.115384615,2,0
4861,2,20代,5,2,1,2,2,02,2,7,2,1,0
4862,1,30代,1,1,4,1,9,01,2,0,1.875,1,0
4863,1,70代,5,2,1,1,5,02,2,7,1,4,0
4864,2,40代,2,1,3,1,2,05,2,9,3.846153846,2,0
4865,1,50代,2,2,3,1,9,01,3,12,1,4,1
4866,1,30代,7,1,2,1,2,02,2,0,1.181818182,1,0
4867,2,20代,5,2,1,2,1,02,3,0,1.04,1,1
4868,2,20代,7,1,2,1,1,02,2,9,1.3,1,0
4869,1,50代,1,1,2,1,5,01,3,1,1.75,1,0
4871,2,50代,2,1,3,1,0,02,3,6,1,4,0
4872,1,40代,5,1,3,1,2,03,3,1,3,1,0
4873,2,20代,2,2,4,1,1,06,3,5,1,4,1
4874,2,50代,1,1,2,1,3,05,2,8,1.6875,1,0
4875,2,20代,5,2,1,2,3,02,2,1,1.428571429,1,0
4876,2,20代,5,2,1,2,1,12,3,7,1.2,1,1
4877,1,50代,4,1,4,1,3,02,3,1,1,4,1
4878,2,20代,2,2,4,1,1,03,3,7,1,4,0
4879,1,20代,2,2,4,1,2,06,3,2,1,4,0
4880,1,40代,5,1,3,1,9,05,3,12,2,2,0
4881,1,40代,5,2,1,2,3,02,3,14,5.166666667,1,0
4882,1,20代,2,2,2,1,0,06,3,1,1.25,1,1
4883,1,20代,2,2,3,1,0,06,3,1,1.666666667,1,0
4884,2,40代,5,1,2,1,2,12,3,0,1,4,0
4885,1,40代,1,1,2,1,6,01,3,10,1.5,1,1
4886,1,20代,7,2,1,2,0,06,3,2,1.75,1,0
4887,2,30代,2,1,2,1,0,04,3,7,1.153846154,1,0
4888,1,60代,1,1,2,1,2,08,3,1,1.869565217,1,0
4889,2,40代,2,1,3,1,0,12,3,7,1,4,1
4890,1,40代,1,1,4,1,6,13,3,12,1.350877193,1,1
4891,2,40代,2,1,4,1,1,02,3,10,1.5,1,0
4892,2,50代,2,1,4,1,0,07,3,6,1,6,1
4893,1,40代,3,1,4,1,5,02,3,6,1.769230769,1,0
4894,2,20代,3,2,4,1,0,06,3,1,3,1,0
4895,1,20代,5,2,1,2,1,02,3,5,1.85,1,0
4896,1,60代,5,1,2,1,1,08,3,0,1.416666667,1,0
4897,2,50代,1,1,3,1,7,02,3,10,1.333333333,1,0
4898,2,50代,2,1,4,1,0,04,2,8,2.25,1,0
4899,1,60代,1,1,2,1,7,01,2,14,3.625,1,0
4900,2,70代,2,2,2,1,0,08,2,0,2.028571429,1,0
4901,1,60代,1,1,3,9,9,01,2,0,1.5,1,0
4902,1,40代,1,1,4,1,4,02,2,1,2,1,0
4903,1,70代,1,2,1,1,1,08,2,6,2.725,1,0
4904,2,20代,5,1,2,1,2,02,2,11,5.285714286,1,0
4905,2,20代,7,2,3,1,0,06,3,3,1.6,1,0
4906,2,30代,7,1,2,2,3,02,2,11,6.833333333,1,0
4907,2,30代,2,2,1,1,3,02,2,0,2.0375,1,1
4908,1,50代,1,1,4,1,5,02,2,13,1.769230769,1,0
4909,2,50代,6,2,1,2,2,05,2,1,2,1,0
4910,1,50代,1,1,3,9,4,02,2,13,2,1,0
4911,2,60代,2,1,4,1,0,04,2,6,3.428571429,1,0
4912,1,20代,2,2,3,1,1,03,3,5,1,4,1
4913,1,60代,1,1,3,1,2,05,2,0,3.125,1,0
4914,2,70代,1,1,2,1,7,01,2,12,6.25,2,0
4915,2,60代,2,1,2,9,3,01,2,7,3.2,1,0
4916,2,20代,2,2,4,1,1,02,3,4,1.5,1,0
4917,2,30代,2,1,4,1,3,02,3,8,2.5,1,0
4918,1,70代,1,1,4,9,3,01,2,15,1.87,1,0
4919,2,50代,4,1,3,1,2,05,3,1,3.5,1,0
4920,2,40代,5,1,3,1,1,07,2,7,1.151515152,2,0
4921,2,70代,2,1,2,1,1,08,3,3,1,4,0
4922,2,20代,7,2,2,1,1,02,3,8,2.5,2,0
4923,2,30代,2,1,2,1,0,04,3,8,1,4,0
4924,2,20代,2,2,3,1,1,02,2,7,1.12,1,0
4925,2,20代,2,2,4,1,0,06,2,4,1,4,0
4926,2,30代,1,1,3,1,2,02,2,2,2,1,0
4927,2,20代,2,2,4,1,0,06,3,0,4.5,1,1
4928,1,50代,1,1,4,1,9,02,3,10,1.666666667,1,0
4929,2,20代,2,1,2,0,6,10,2,11,2.5,2,0
4930,1,40代,7,1,3,1,4,02,3,2,3.5,1,1
4931,2,30代,5,2,1,2,3,02,3,11,4.75,1,0
4932,1,30代,5,2,1,2,3,02,2,2,2.25,1,0
4933,1,50代,5,2,1,1,9,01,2,0,1,4,1
4934,1,50代,1,1,4,1,4,02,2,10,1.545454545,1,1
4935,1,20代,2,2,4,1,0,06,3,2,2,1,1
4936,2,30代,5,2,3,2,1,07,2,2,2.233333333,1,1
4937,2,30代,5,2,1,2,2,03,2,17,3.857142857,1,0
4938,2,30代,2,2,1,1,7,02,3,1,1.75,1,0
4939,1,60代,1,1,2,1,1,07,2,15,4.333333333,1,0
4940,1,30代,4,2,1,2,5,02,3,1,1,4,0
4941,2,20代,2,2,2,1,0,06,3,0,3,1,0
4942,2,80代,1,1,2,1,1,04,3,2,1.384615385,1,0
4943,2,50代,5,1,1,1,2,02,3,3,1.666666667,1,0
4944,2,50代,2,2,4,1,2,02,3,4,1.166666667,1,0
4945,2,50代,5,2,1,1,1,12,3,14,1.85,1,0
4946,1,20代,2,2,3,1,1,03,3,5,1,4,1
4948,2,20代,2,2,4,1,0,06,3,4,1.3,1,0
4949,1,30代,5,2,4,1,2,02,3,6,1.875,1,0
4950,2,30代,7,1,2,0,1,02,3,0,2.666666667,1,0
4951,1,40代,1,1,4,1,7,02,3,10,1.5,1,0
4952,2,40代,2,1,4,1,0,04,3,1,2.875,1,0
4953,1,50代,2,1,2,1,2,13,3,10,1.111111111,2,0
4954,2,20代,2,2,1,1,1,02,3,0,3.222222222,1,0
4955,2,40代,2,1,3,1,1,02,3,1,2.875,1,0
4956,2,30代,5,2,1,2,2,02,3,3,1.733333333,1,0
4957,2,20代,2,2,3,1,0,02,3,4,1.3,1,0
4958,2,20代,2,2,4,1,0,06,3,1,1,4,0
4959,1,20代,7,2,4,2,0,06,3,2,1.833333333,1,0
4961,2,50代,5,2,3,1,4,02,3,1,1.384615385,1,0
4962,1,50代,5,2,2,2,1,07,3,5,2,1,0
4963,2,30代,1,1,3,1,6,02,3,7,1,4,0
4964,2,40代,5,2,1,2,2,02,3,2,1.071428571,1,1
4965,2,30代,5,2,1,2,2,12,3,5,1.2,1,0
4966,1,20代,3,2,3,2,1,02,3,16,1.666666667,2,1
4967,1,20代,3,2,3,2,1,02,3,16,1,4,1
4968,2,20代,2,2,4,1,1,02,3,4,1.75,1,0
4969,1,30代,5,2,1,2,3,02,3,8,3.5,1,0
4971,2,30代,5,2,2,1,3,02,2,2,1.818181818,2,0
4972,2,40代,5,2,1,2,9,02,2,1,2.272727273,1,0
4973,1,50代,1,1,4,1,4,02,2,0,2,1,1
4974,2,40代,6,1,3,1,3,02,2,0,1.909090909,1,0
4975,2,40代,1,1,4,1,5,02,2,1,2.818181818,1,0
4976,2,40代,2,1,4,1,1,01,2,0,1.718181818,1,0
4977,1,20代,7,2,1,2,2,02,3,0,1,4,1
4978,2,50代,5,1,2,1,3,02,2,16,1.833333333,1,1
4979,1,40代,5,2,1,2,4,02,2,8,2.111111111,1,0
4980,2,40代,2,2,2,2,1,12,2,6,1.071428571,1,1
4981,1,60代,1,1,3,1,6,02,2,12,2.333333333,1,0
4982,1,50代,1,1,4,0,4,02,2,6,3.5,1,0
